"ITEM","NOMBRE","DIRECCION COMERCIAL","TELÉFONO","CASIFICACIÓN POR CONCEPTO","MESAS","SILLAS","AFORO","DOMICILIOS"
"93","La Bufalera Restaurante","C 10 10 70","3,176,680,633","Restaurante Tematico - Parrilla - Especialidad La Bufalera","28","4","112","SI"
"94","Asadero Don Gallo","K 4 10 75","3,104,069,224","Restaurante familiar - Pollo asado al carbón","8","4","32","SI"
"95","Restaurante Parque acuático El Cortijo","Km 1 via Honda","3,218,019,688","Restaurante familiar - Carnes - pescados","10","6","60","SI"
"96","Restaurante La Parcela","K 4 C 7 Guarinocito","3,104,271,169","Restaurante familiar - platos a la carta - mirador","10","4","40","SI"
"97","La Casa del pandebono Parador Restaurante","Guarinocito Autopista","3,228,928,455","Restaurante familiar - Corriente - platos a la carta","30","4","120","SI"
"98","Parador Los Mangos Restaurante","Guarinocito Autopista","3,106,112,786","Restaurante familiar - Corriente - platos a la carta","19","4","76","SI"
"99","Restaurante Donde Elena","Guarinocito Autopista","3,217,869,520","Restaurante familiar - Corriente - platos a la carta","10","4","40","SI"
"100","Estader Los Brochero","Charca Guarinocito","3,223,759,077","Restaurante familiar - platos a la carta","10","4","40","SI"
"101","Estadero El Cacique","Charca Guarinocito","3,226,495,831","Restaurante familiar - Mojarra frita","5","4","20","SI"
"102","La Guarapera","Charca Guarinocito","3,235,914,404","Restaurante familiar - Mojarra rita - Guarapo","7","4","28","SI"
"103","El Escondite de Mao","Charca Guarinocito","3,168,455,204","Restaurante familiar - Mojarra frita - paseo en bote","10","4","40","SI"
"104","La Portada Tradicional  Parador restaurante","Purnio Autopista","3,205,536,297","Restaurante familiar - Cafeteria - Bar - parrilla","70","4","280","SI"
"105","Restaurante Donde La Mona","Purnio Autopista","3,203,304,577","Restaurante familiar - Platos a la carta","10","4","40","SI"
"106","Restaurante cempestre TUKU","Kuce a Victoria","3,128,036,009","Restaurante familiar - Platos a la carta - Parrilla","10","4","40","SI"
"107","Gastrobar Provenza","C 13 11 06","3,043,362,564","Restaurante familiar - Fast Food - Especial - Platos ejecutivos","8","4","32","SI"
"108","Restaurante APB Buenavista","Buenavista","3,172,932,333","Restaurante familiar - Comida corriente - pescado de río","10","4","40","SI"
"109","Restaurante Brisas del Río La Miel","Vereda La Atarraya","3,117,490,817","Restaurante familiar - Comida corriente - pescado de río","4","6","24","SI"
"110","Restaurante Doña Eva","Central de Abastos","3,104,360,159","Pescados - Comida corriente - Tamales fin de semana - Mirador","10","6","60","SI"
"111","Restaurante Doña Olga","Central de Abastos","3,137,368,763","Pescados - Comida corriente - Tamales fin de semana - Mirador","15","4","60","SI"
"112","Restaurante Donde Deicy","Central de Abastos","3,212,438,746","Pescados - Comida corriente - Tamales fin de semana - Mirador","10","6","60","SI"
"113","Restaurante Doña Gloria","Central de Abastos","3,207,261,769","Pescados - Comida corriente - Tamales fin de semana - Mirador","16","4","64","SI"
"114","Restaurante Luna","Central de Abastos","3,104,289,060","Pescados - Comida corriente - Tamales fin de semana - Mirador","9","4","36","SI"
"115","Picadas Martín","Central de Abastos","3,148,801,080","Picadas - Chunchulla - Rellena - Tamales - Bofe - Take away","2","4","8","SI"
"116","Picadas La Mona","Central de Abastos","3,113,010,093","Picadas - Chunchulla - Rellena - Tamales - Bofe - Take away","2","4","8","SI"
"117","Picadas Doris","Central de Abastos","3,226,118,305","Picadas - Chunchulla - Rellena - Tamales - Bofe - Take away","2","4","8","SI"
"118","Peto donde Fany","Central de Abastos","3,216,455,035","Peto - Buñuelos - Subidos","2","4","8","SI"
"119","Arepas la Vecinita","C 11A 12 35","3,145,493,149","Fast Food - Empanadas - Arepas - Chuzos - Chorizos","8","4","32","SI"
"120","Pizza El Paisa","K 10 C 10","3,218,518,127","Pizza - Fast Food","11","4","44","SI"
"121","Asados Master Chef","C 13 K 4 Esquina","3,103,382,346","Fast Food - Chorizos - Picadas - Jugos naturales","10","4","40","SI"
"122","Picnic Bar El Roble al aire libre","K 15 Ingreso La Melissa","3,104,435,569","Gastrobar Familiar - Fast Food - Carnes","25","4","100","SI"
"123","Restaurante Donde Marina","K 7 16 52","3,136,582,387","Restaurante familiar - Menús saludables - Carnes","10","6","60","SI"
