item,nombre,direccion_comercial,casificación_por_concepto,mesas,sillas,aforo,domicilios,teléfono_limpio
94,Asadero Don Gallo,K 4 10 75,Restaurante familiar - Pollo asado al carbón,8,4,32,SI,3104069224
95,Restaurante Parque acuático El Cortijo,Km 1 via Honda,Restaurante familiar - Carnes - pescados,10,6,60,SI,3218019688
96,Restaurante La Parcela,K 4 C 7 Guarinocito,Restaurante familiar - platos a la carta - mirador,10,4,40,SI,3104271169
97,La Casa del pandebono Parador Restaurante,Guarinocito Autopista,Restaurante familiar - Corriente - platos a la carta,30,4,120,SI,3228928455
98,Parador Los Mangos Restaurante,Guarinocito Autopista,Restaurante familiar - Corriente - platos a la carta,19,4,76,SI,3106112786
99,Restaurante Donde Elena,Guarinocito Autopista,Restaurante familiar - Corriente - platos a la carta,10,4,40,SI,3217869520
100,Estader Los Brochero,Charca Guarinocito,Restaurante familiar - platos a la carta,10,4,40,SI,3223759077
101,Estadero El Cacique,Charca Guarinocito,Restaurante familiar - Mojarra frita,5,4,20,SI,3226495831
102,La Guarapera,Charca Guarinocito,Restaurante familiar - Mojarra rita - Guarapo,7,4,28,SI,3235914404
103,El Escondite de Mao,Charca Guarinocito,Restaurante familiar - Mojarra frita - paseo en bote,10,4,40,SI,3168455204
104,La Portada Tradicional  Parador restaurante,Purnio Autopista,Restaurante familiar - Cafeteria - Bar - parrilla,70,4,280,SI,3205536297
105,Restaurante Donde La Mona,Purnio Autopista,Restaurante familiar - Platos a la carta,10,4,40,SI,3203304577
106,Restaurante cempestre TUKU,Kuce a Victoria,Restaurante familiar - Platos a la carta - Parrilla,10,4,40,SI,3128036009
107,Gastrobar Provenza,C 13 11 06,Restaurante familiar - Fast Food - Especial - Platos ejecutivos,8,4,32,SI,3043362564
108,Restaurante APB Buenavista,Buenavista,Restaurante familiar - Comida corriente - pescado de río,10,4,40,SI,3172932333
109,Restaurante Brisas del Río La Miel,Vereda La Atarraya,Restaurante familiar - Comida corriente - pescado de río,4,6,24,SI,3117490817
110,Restaurante Doña Eva,Central de Abastos,Pescados - Comida corriente - Tamales fin de semana - Mirador,10,6,60,SI,3104360159
111,Restaurante Doña Olga,Central de Abastos,Pescados - Comida corriente - Tamales fin de semana - Mirador,15,4,60,SI,3137368763
112,Restaurante Donde Deicy,Central de Abastos,Pescados - Comida corriente - Tamales fin de semana - Mirador,10,6,60,SI,3212438746
113,Restaurante Doña Gloria,Central de Abastos,Pescados - Comida corriente - Tamales fin de semana - Mirador,16,4,64,SI,3207261769
114,Restaurante Luna,Central de Abastos,Pescados - Comida corriente - Tamales fin de semana - Mirador,9,4,36,SI,3104289060
115,Picadas Martín,Central de Abastos,Picadas - Chunchulla - Rellena - Tamales - Bofe - Take away,2,4,8,SI,3148801080
116,Picadas La Mona,Central de Abastos,Picadas - Chunchulla - Rellena - Tamales - Bofe - Take away,2,4,8,SI,3113010093
117,Picadas Doris,Central de Abastos,Picadas - Chunchulla - Rellena - Tamales - Bofe - Take away,2,4,8,SI,3226118305
118,Peto donde Fany,Central de Abastos,Peto - Buñuelos - Subidos,2,4,8,SI,3216455035
119,Arepas la Vecinita,C 11A 12 35,Fast Food - Empanadas - Arepas - Chuzos - Chorizos,8,4,32,SI,3145493149
120,Pizza El Paisa,K 10 C 10,Pizza - Fast Food,11,4,44,SI,3218518127
121,Asados Master Chef,C 13 K 4 Esquina,Fast Food - Chorizos - Picadas - Jugos naturales,10,4,40,SI,3103382346
122,Picnic Bar El Roble al aire libre,K 15 Ingreso La Melissa,Gastrobar Familiar - Fast Food - Carnes,25,4,100,SI,3104435569
123,Restaurante Donde Marina,K 7 16 52,Restaurante familiar - Menús saludables - Carnes,10,6,60,SI,3136582387
